Title,Genre1,day,month,year,Runtime,IMDB Score,Language
David Attenborough: A Life on Our Planet,Documentary,4,10,2020,83,9,English
Emicida: AmarElo - It's All For Yesterday,Documentary,8,12,2020,89,8.6,Portuguese
Springsteen on Broadway,One-man show,16,12,2018,153,8.5,English
Ben Platt: Live from Radio City Music Hall,Concert Film,20,5,2020,85,8.4,English
Taylor Swift: Reputation Stadium Tour,Concert Film,31,12,2018,125,8.4,English
Winter on Fire: Ukraine's Fight for Freedom,Documentary,9,10,2015,91,8.4,Russian
Cuba and the Cameraman,Documentary,24,11,2017,114,8.3,English
Dancing with the Birds,Documentary,23,10,2019,51,8.3,English
13th,Documentary,7,10,2016,100,8.2,English
Disclosure: Trans Lives on Screen,Documentary,19,6,2020,107,8.2,English
Klaus,Animation,15,11,2019,97,8.2,English
Seaspiracy,Documentary,24,3,2021,89,8.2,English
The Three Deaths of Marisela Escobedo,Documentary,14,10,2020,109,8.2,Spanish
Chasing Coral,Documentary,14,7,2017,89,8.1,English
My Octopus Teacher,Documentary,7,9,2020,85,8.1,English
Rising Phoenix,Documentary,26,8,2020,106,8.1,English
Struggle: The Life and Lost Art of Szukaiski,Documentary,21,12,2018,105,8,English
A Secret Love,Documentary,29,4,2020,82,7.9,English
Icarus,Documentary,4,8,2017,120,7.9,English
Marriage Story,Drama,6,12,2019,136,7.9,English
The Ivory Game,Documentary,4,11,2016,112,7.9,English
If Anything Happens I Love You,Animation ,20,11,2020,12,7.8,English
The Irishman,Crime drama,27,11,2019,209,7.8,English
The Trial of the Chicago 7,Drama,16,10,2020,130,7.8,English
Anima,Musical ,27,6,2019,15,7.7,English
Beasts of No Nation,War drama,16,10,2015,136,7.7,English
Brene Brown: The Call to Courage,Documentary,19,4,2019,76,7.7,English
Crip Camp: A Disability Revolution,Documentary,25,3,2020,108,7.7,English
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,17,11,2017,94,7.7,English
Justin Timberlake + The Tennessee Kids,Concert Film,12,10,2016,90,7.7,English
Road to Roma,Making-of,11,2,2020,72,7.7,Spanish
Roma,Drama,14,12,2018,135,7.7,Spanish
Athlete A,Documentary,24,6,2020,104,7.6,English
Ludo,Anthology,12,11,2020,149,7.6,Hindi
Quincy,Documentary,21,9,2018,124,7.6,English
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,12,6,2019,144,7.6,English
Tell Me Who I Am,Documentary,18,10,2019,85,7.6,English
The Bleeding Edge,Documentary,27,7,2018,100,7.6,English
The Social Dilemma,Documentary,9,9,2020,94,7.6,English
The Two Popes,Drama,20,12,2019,125,7.6,English
"What Happened, Miss Simone?",Documentary,26,6,2015,84,7.6,English
Yeh Ballet,Drama,21,2,2020,117,7.6,Hindi
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,22,11,2017,108,7.5,English
Blackpink: Light Up the Sky,Documentary,14,10,2020,79,7.5,Korean
City of Joy,Documentary,7,9,2018,74,7.5,English
Dick Johnson Is Dead,Documentary,2,10,2020,90,7.5,English
Homecoming: A Film by Beyonce,Documentary,17,4,2019,137,7.5,English
Invader Zim: Enter the Florpus,Animation ,16,8,2019,71,7.5,English
Joan Didion: The Center Will Not Hold,Documentary,27,10,2017,98,7.5,English
John Mulaney & the Sack Lunch Bunch,Variety show,24,12,2019,70,7.5,English
Reversing Roe,Documentary,13,9,2018,99,7.5,English
The White Helmets,Documentary,16,9,2016,40,7.5,English
American Factory,Documentary,21,8,2019,110,7.4,English
Fire in Paradise,Documentary,1,11,2019,39,7.4,English
Long Shot,Documentary,29,9,2017,40,7.4,English
Miss Americana,Documentary,31,1,2020,85,7.4,English
Period. End of Sentence.,Documentary,12,2,2019,26,7.4,English
Shawn Mendes: Live in Concert,Concert Film,25,11,2020,87,7.4,English
Shirkers,Documentary,26,10,2018,97,7.4,English
The Black Godfather,Documentary,7,6,2019,118,7.4,English
The Irishman: In Conversation,Aftershow ,27,11,2019,23,7.4,English
The Speed Cubers,Documentary,29,7,2020,40,7.4,English
They'll Love Me When I'm Dead,Documentary,2,11,2018,98,7.4,English
Tig,Documentary,17,7,2015,80,7.4,English
Dolemite Is My Name,Biopic,25,10,2019,118,7.3,English
